Manager,Owner,Market,Submarket,Property Name,Address,City,State,ZIP,Units,Manage v. OWN and manage
Greystar Management,Tower 16 Capital Partners,Albuquerque,,Tesota Four Hills,301 Western Skies Drive SE,Albuquerque,NM,87123,288,MANAGE
Greystar Management,Texas Capital Partners,Albuquerque,1 - Albuquerque - Central,Union 505,801 Locust Place NE,Albuquerque,NM,87102,572,MANAGE
Greystar Management,Titan Development,Albuquerque,2 - Albuquerque - North Valley,Allaso Journal Center,7800 Headline Blvd NE,Albuquerque,NM,87109,158,MANAGE
Greystar Management,Titan Development,Albuquerque,2 - Albuquerque - North Valley,"Senary by Allaso, The",7501 Jefferson Street NE,Albuquerque,NM,87109,209,MANAGE
Greystar Management,TriWest Development,Albuquerque,2 - Albuquerque - North Valley,Valley,1812 Indian School Road NW,Albuquerque,NM,87104,140,MANAGE
Greystar Management,"Ginzburg, Allen & Shirley",Albuquerque,3 - Albuquerque - Montgomery,Desert Creek,4300 Pan American Freeway NE,Albuquerque,NM,87107,241,MANAGE
Greystar Management,TriWest Development,Albuquerque,3 - Albuquerque - Montgomery,Sun Plaza,4400 Montgomery Blvd NE,Albuquerque,NM,87109,152,MANAGE
Greystar Management,Tower 16 Capital Partners,Albuquerque,3 - Albuquerque - Montgomery,Tesota Morningside,3958 Montgomery Blvd NE,Albuquerque,NM,87109,160,MANAGE
Greystar Management,Titan Development,Albuquerque,4 - Albuquerque - University,Broadstone Nob Hill,4101 Central Avenue NE,Albuquerque,NM,87108,102,MANAGE
Greystar Management,Benedict Canyon Equities,Albuquerque,4 - Albuquerque - University,Glo,3901 Indian School Road NE,Albuquerque,NM,87110,196,MANAGE
Greystar Management,Diamond Equity Ventures,Albuquerque,5 - Albuquerque - South,Diamond Elite Luxury Homes,3003 Transport Street SE,Albuquerque,NM,87106,162,MANAGE
Greystar Management,DiNapoli Capital Partners,Albuquerque,5 - Albuquerque - South,Encanto at Mesa Del Sol,2500 Bobby Foster Road SE,Albuquerque,NM,87106,318,MANAGE
Greystar Management,MLG Capital,Albuquerque,6 - Albuquerque - South Valley,Diamond Mesa,2300 Diamond Mesa Trail SW,Albuquerque,NM,87121,456,MANAGE
Greystar Management,Kennedy Wilson,Albuquerque,7 - Albuquerque - Westside,Aydan,6000 Montano Plaza Drive,Albuquerque,NM,87120,344,MANAGE
Greystar Management,LaTerra Development,Albuquerque,7 - Albuquerque - Westside,"Charlie ABQ, The",7682 Woodmont Avenue,Albuquerque,NM,87114,344,MANAGE
Greystar Management,Greystar,Albuquerque,7 - Albuquerque - Westside,Overture Andalucia,5301 Antequera Road,Albuquerque,NM,87120,171,MANAGE
Greystar Management,Continental Realty Group,Albuquerque,7 - Albuquerque - Westside,Stride West,6101 Sequoia Road NW,Albuquerque,NM,87120,280,MANAGE
Greystar Management,Kennedy Wilson,Albuquerque,8 - Albuquerque - Paradise Hills,"Aubry, The",9180 Coors Blvd NW,Albuquerque,NM,87120,356,MANAGE
Greystar Management,Kennedy Wilson,Albuquerque,8 - Albuquerque - Paradise Hills,Cantata at the Trails,6700 Cantata Street NW,Albuquerque,NM,87114,260,MANAGE
Greystar Management,TMR Investments,Albuquerque,8 - Albuquerque - Paradise Hills,Circ,10300 Golf Course Road NW,Albuquerque,NM,87114,264,MANAGE
Greystar Management,Ilan Investments,Albuquerque,8 - Albuquerque - Paradise Hills,Entrada Pointe,900 Country Club Drive SE,Rio Rancho,NM,87124,209,MANAGE
Greystar Management,Continental Realty Group,Albuquerque,8 - Albuquerque - Paradise Hills,Odyssey,10600 Cibola Loop NW,Albuquerque,NM,87114,572,MANAGE
Greystar Management,Kennedy Wilson,Albuquerque,8 - Albuquerque - Paradise Hills,SkyStone,10800 Cibola Loop NW,Albuquerque,NM,87114,254,MANAGE
Greystar Management,Titan Development,Albuquerque,9 - Albuquerque - Academy,Allaso Olivine,6925 Alameda Blvd NE,Albuquerque,NM,87113,105,MANAGE
Greystar Management,Kennedy Wilson,Albuquerque,9 - Albuquerque - Academy,AYA ABQ,5324 San Mateo Blvd NE,Albuquerque,NM,87109,504,MANAGE
Greystar Management,Benedict Canyon Equities,Albuquerque,9 - Albuquerque - Academy,Calero,8000 Montgomery Blvd NE,Albuquerque,NM,87109,216,MANAGE
Greystar Management,Laguna Point Properties,Albuquerque,9 - Albuquerque - Academy,Canyon Crest,7303 Montgomery Blvd NE,Albuquerque,NM,87109,268,MANAGE
Greystar Management,TriWest Development,Albuquerque,9 - Albuquerque - Academy,Milo,4217 Louisiana Blvd NE,Albuquerque,NM,87109,312,MANAGE
Greystar Management,Greystar,Albuquerque,9 - Albuquerque - Academy,Overture Albuquerque,6441 Palomas Avenue NE,Albuquerque,NM,87109,174,MANAGE
Greystar Management,Legacy Development & Management,Albuquerque,10 - Albuquerque - Uptown,Markana Flats,7050 Constitution Avenue NE,Albuquerque,NM,87110,151,MANAGE
Greystar Management,Legacy Development & Management,Albuquerque,10 - Albuquerque - Uptown,Markana Uptown,6500 Americas Pkwy,Albuquerque,NM,87110,246,MANAGE
Greystar Management,Titan Development,Albuquerque,12 - Albuquerque - Northeast,Allaso High Desert,6701 Tennyson Street NE,Albuquerque,NM,87122,281,MANAGE
Greystar Management,Titan Development,Albuquerque,12 - Albuquerque - Northeast,Allaso Vineyards,8901 Holly Avenue,Albuquerque,NM,87122,111,MANAGE
Greystar Management,Roger Cox Properties,Albuquerque,12 - Albuquerque - Northeast,Canoan Village,5300 Eubank Blvd NE,Albuquerque,NM,87111,172,MANAGE
Greystar Management,SPL Real Estate,Albuquerque,12 - Albuquerque - Northeast,Copper Hills,4200 Spanish Bit NE,Albuquerque,NM,87111,270,MANAGE
Greystar Management,Bean Investment Real Estate,Albuquerque,12 - Albuquerque - Northeast,Eagle Point,4401 Morris Street NE,Albuquerque,NM,87111,332,MANAGE
Greystar Management,TMR Investments,Albuquerque,12 - Albuquerque - Northeast,Ottavo,6350 Eubank Blvd NE,Albuquerque,NM,87111,200,MANAGE
Greystar Management,TMR Investments,Albuquerque,12 - Albuquerque - Northeast,Quincy,5905 Tierra Antigua Street NE,Albuquerque,NM,87111,156,MANAGE
Greystar Management,Laguna Point Properties,Albuquerque,12 - Albuquerque - Northeast,Spring Park,5801 Eubank Blvd NE,Albuquerque,NM,87111,300,MANAGE
Greystar Management,"Lizardi, Marco A.",Albuquerque,13 - Albuquerque - La Cuesta,"Reserve, The",1001 Tramway Blvd NE,Albuquerque,NM,87112,260,MANAGE
Greystar Management,Ilan Investments,Albuquerque,15 - Albuquerque - Southeast,Arrowhead Pointe,12021 Skyline Road NE,Albuquerque,NM,87123,272,MANAGE
Greystar Management,TMR Investments,Albuquerque,15 - Albuquerque - Southeast,"June, The",13150 Wenonah Avenue SE,Albuquerque,NM,87123,144,MANAGE
Greystar Management,TMR Investments,Albuquerque,15 - Albuquerque - Southeast,Lumen,701 Stephen Moody Street SE,Albuquerque,NM,87123,280,MANAGE
Greystar Management,Tower 16 Capital Partners,Albuquerque,15 - Albuquerque - Southeast,Tesota Midtown,200 Figueroa Street NE,Albuquerque,NM,87123,124,MANAGE
Greystar Management,Santa Fe Properties,Albuquerque,19 - Los Alamos,"Hill, The",141 36th Street,Los Alamos,NM,87544,149,MANAGE
Greystar Management,DeBartolo Development,Albuquerque,20 - Santa Fe,Arcadia,5300 Las Soleras Drive,Santa Fe,NM,87505,332,MANAGE
Greystar Management,Benedict Canyon Equities,Albuquerque,20 - Santa Fe,Local 1896,1896 Lorca Drive,Santa Fe,NM,87505,156,MANAGE
Greystar Management,Benedict Canyon Equities,Albuquerque,20 - Santa Fe,"Mica, The",825 Calle Mejia,Santa Fe,NM,87501,162,MANAGE
Greystar Management,Santa Fe Railyard Community Corporation,Albuquerque,20 - Santa Fe,Railyard Flats,701 Camino de la Familia,Santa Fe,NM,87501,58,MANAGE
Greystar Management,Abacus Capital Group,Albuquerque,20 - Santa Fe,Solwyn,5520 Wellness Way,Santa Fe,NM,87507,330,MANAGE
Greystar Management,"Peters Corporation, The",Albuquerque,20 - Santa Fe,South Meadows,2800 South Meadows Road,Santa Fe,NM,87507,240,MANAGE
Greystar Management,Abacus Capital Group,Albuquerque,20 - Santa Fe,Turquesa,4700 Wagon Road,Santa Fe,NM,87507,240,MANAGE
Greystar Management,Alliance Residential Company,Albuquerque,20 - Santa Fe,Zocalo Luxury Leasing,1551 Avenida Rincon,Santa Fe,NM,87506,54,MANAGE
Greystar Management,Greystar,Allentown-Bethlehem,13 - Bethlehem South,SouthSide Commons,444 Brodhead Avenue,Bethlehem,PA,18015,144,MANAGE
Greystar Management,Greystar,Appalachian,1 - James Madison,Arcadia Harrisonburg,1820 Putter Court,Harrisonburg,VA,22801,168,MANAGE
Greystar Management,CMB Development,Appalachian,1 - James Madison,Campus View,2401 Clubhouse Court,Harrisonburg,VA,22801,184,MANAGE
Greystar Management,GW Real Estate Partners,Appalachian,7 - University of Virginia,"Arrowood, The",4010 Entrada Drive,Charlottesville,VA,22901,250,MANAGE
Greystar Management,Prospect Ridge,Appalachian,7 - University of Virginia,Cobalt Ridge,1000 Old Brook Road,Charlottesville,VA,22901,469,MANAGE
Greystar Management,Eaton Vance Real Estate Investment Group,Appalachian,7 - University of Virginia,Fifth Street Place,411 Afton Pond Court,Charlottesville,VA,22902,200,MANAGE
Greystar Management,Greystar,Appalachian,7 - University of Virginia,Old Ivy Residences,2441 Old Ivy Road,Charlottesville,VA,22903,336,MANAGE
Greystar Management,Dominion Realty Partners,Appalachian,7 - University of Virginia,Rio Point,7010 Bo Street,Charlottesville,VA,22901,328,MANAGE
Greystar Management,Greystar,Appalachian,19 - Blacksburg,Union Blacksburg,1001 University City Blvd,Blacksburg,VA,24060,442,MANAGE
Greystar Management,Flournoy Companies,Asheville,4 - Asheville - South,Weller at the Preserve,710 Rushing Creek Drive,Asheville,NC,28803,179,MANAGE
Greystar Management,Catalyst Capital Partners,Asheville,7 - Asheville - West,Archer at Riverblue,300 Bow Bend,Asheville,NC,28806,245,MANAGE
Greystar Management,Catalyst Capital Partners,Asheville,7 - Asheville - West,Chorus Asheville,410 Smokey View Road,Asheville,NC,28806,153,MANAGE
Greystar Management,Catalyst Capital Partners,Asheville,7 - Asheville - West,Hominy at Riverblue,113 Hominy Ridge Court,Asheville,NC,28806,262,MANAGE
Greystar Management,TruAmerica Multifamily,Asheville,7 - Asheville - West,Westmont Commons,120 Chamberlain Drive,Asheville,NC,28806,252,MANAGE
Greystar Management,McCall Capital,Asheville,9 - Asheville - East,Enclave Piney Mountain,1040 Enclave Piney Lane,Asheville,NC,28805,212,MANAGE
Greystar Management,Fairfield Residential,Asheville,9 - Asheville - East,Verde Vista,4110 Verde Vista Circle,Asheville,NC,28805,313,MANAGE
Greystar Management,Southeast Partners,Asheville,11 - Buncombe County - Southwest,"Hominy, The",116 Two Creek Way,Candler,NC,28715,216,MANAGE
Greystar Management,D.R. Horton,Asheville,16 - Henderson County,Ascend Cottages at Highland Square,102 Francis Road,Hendersonville,NC,28792,99,MANAGE
Greystar Management,Greystar,Athens,1 - Athens - University,Accolade Athens,600 North Thomas Street,Athens,GA,30601,190,MANAGE
Greystar Management,Greystar,Athens,5 - Athens - North,Flats at General Time,180 Newton Bridge Road,Athens,GA,30607,200,MANAGE
Greystar Management,"Ritchie Group, The",Athens,11 - Oakwood - Flowery Branch,"Arden, The",900 Great Forest Way,Oakwood,GA,30566,248,MANAGE
Greystar Management,Imperium Development,Athens,11 - Oakwood - Flowery Branch,Ava Oakwood,6000 Ava Avenue,Gainesville,GA,30504,229,MANAGE
Greystar Management,Terwilliger Pappas,Athens,12 - Gainesville,"Everly, The",1000 Everly Way,Gainesville,GA,30501,223,MANAGE
Greystar Management,Alliance Residential Company,Athens,12 - Gainesville,Prose Gainesville,900 Mountaintop Avenue,Gainesville,GA,30501,300,MANAGE
Greystar Management,Terwilliger Pappas,Athens,12 - Gainesville,Solis Gainesville,1000 Rea Drive,Gainesville,GA,30501,184,MANAGE
Greystar Management,White Oak Partners,Atlanta - Suburban,1 - Sandy Springs,550 Northridge,550 Northridge Pkwy,Sandy Springs,GA,30350,220,MANAGE
Greystar Management,T30 Capital,Atlanta - Suburban,1 - Sandy Springs,Aqua at Sandy Springs,100 Greyfield Lane,Sandy Springs,GA,30350,219,MANAGE
Greystar Management,MidCity Real Estate Partners,Atlanta - Suburban,2 - Roswell - Alpharetta,Amorance,2001 Commerce Street,Alpharetta,GA,30009,168,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,2 - Roswell - Alpharetta,Avana North Point,900 Jameson Pass,Alpharetta,GA,30022,264,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,2 - Roswell - Alpharetta,Avana Woods,8520 South Holcomb Bridge Way,Alpharetta,GA,30022,437,MANAGE
Greystar Management,Solon Mack Capital,Atlanta - Suburban,2 - Roswell - Alpharetta,Ellwood Pines,1000 Holcomb Bridge Road,Roswell,GA,30076,498,MANAGE
Greystar Management,TA Realty,Atlanta - Suburban,2 - Roswell - Alpharetta,"Lights at Northwinds, The",6000 Summit Place,Alpharetta,GA,30009,140,MANAGE
Greystar Management,Wood Partners,Atlanta - Suburban,3 - Cumming,Alta Northerly,4805 Creek Circle,Cumming,GA,30028,310,MANAGE
Greystar Management,Clarion Partners,Atlanta - Suburban,3 - Cumming,Everleigh Halcyon Village,6550 Halcyon Way,Alpharetta,GA,30005,160,MANAGE
Greystar Management,White Oak Partners,Atlanta - Suburban,3 - Cumming,"Foundry at Mashburn Village, The",98 Buford Dam Road,Cumming,GA,30040,320,MANAGE
Greystar Management,Wilkinson Real Estate Advisors,Atlanta - Suburban,4 - Duluth,Andover at Johns Creek,10840 State Bridge Road,Johns Creek,GA,30022,224,MANAGE
Greystar Management,Blaze Capital Partners,Atlanta - Suburban,4 - Duluth,Annabelle on Main,2375 Main Street NW,Duluth,GA,30097,180,MANAGE
Greystar Management,TruAmerica Multifamily,Atlanta - Suburban,4 - Duluth,Anzio,3100 Sweetwater Road,Lawrenceville,GA,30044,448,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,4 - Duluth,Avana Court,3800 Club Drive,Duluth,GA,30096,446,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,4 - Duluth,Avana Portico,2110 Preston Park Drive,Duluth,GA,30096,440,MANAGE
Greystar Management,Related Companies,Atlanta - Suburban,4 - Duluth,Bridgewater,1500 Ridge Brook Trail,Duluth,GA,30096,532,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,4 - Duluth,Elan Satellite Place,3100 Commerce Avenue NW,Duluth,GA,30096,328,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,4 - Duluth,Everleigh Duluth,3215 Hill Street,Duluth,GA,30096,180,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,4 - Duluth,Proctor Square,3441 Fox Street NW,Duluth,GA,30096,72,MANAGE
Greystar Management,TruAmerica Multifamily,Atlanta - Suburban,4 - Duluth,Signature at Sugarloaf,2255 Satellite Blvd,Duluth,GA,30097,268,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,5 - Norcross,Avana Chase,6280 South Norcross Tucker Road,Tucker,GA,30084,410,MANAGE
Greystar Management,Brass Enterprises,Atlanta - Suburban,5 - Norcross,Broadstone Junction,500 Thrasher Street NW,Norcross,GA,30071,290,MANAGE
Greystar Management,Alliance Residential Company,Atlanta - Suburban,5 - Norcross,Broadstone Peachtree Corners,5672 Peachtree Pkwy,Peachtree Corners,GA,30092,295,MANAGE
Greystar Management,Alliance Residential Company,Atlanta - Suburban,5 - Norcross,"Clara by Broadstone, The",5420 Buford Hwy,Norcross,GA,30071,280,MANAGE
Greystar Management,TerraCap Management,Atlanta - Suburban,5 - Norcross,Reserve at Peachtree Corners,3495 Jones Mill Road,Norcross,GA,30092,348,MANAGE
Greystar Management,Terwilliger Pappas,Atlanta - Suburban,5 - Norcross,Solis Peachtree Corners,4936 Peachtree Corners Circle,Peachtree Corners,GA,30092,249,MANAGE
Greystar Management,McDowell Properties,Atlanta - Suburban,5 - Norcross,Somerset at the Crossings,100 Summerwalk Pkwy,Tucker,GA,30084,264,MANAGE
Greystar Management,OneStreet Residential,Atlanta - Suburban,6 - Buford,Hayloft Suwanee,2000 Harvest Pond Circle,Suwanee,GA,30024,98,MANAGE
Greystar Management,Capitol Seniors Housing,Atlanta - Suburban,6 - Buford,Outlook Gwinnett,1500 Laurel Crossing Pkwy,Buford,GA,30519,180,MANAGE
Greystar Management,Highpoint Development,Atlanta - Suburban,7 - Lawrenceville,"Whitby, The",550 Webb Gin House Road,Lawrenceville,GA,30045,300,MANAGE
Greystar Management,"RMR Group, The",Atlanta - Suburban,8 - Stone Mountain,Avana Twenty9,2334 Fuller Way,Tucker,GA,30084,217,MANAGE
Greystar Management,Frankforter Group,Atlanta - Suburban,8 - Stone Mountain,Hairston Woods,1173 North Hairston Road,Stone Mountain,GA,30083,240,MANAGE
Greystar Management,Legacy Real Estate Development,Atlanta - Suburban,9 - Snellville,Villas at Loganville,2935 Rosebud Road,Loganville,GA,30052,175,MANAGE
Greystar Management,LRE Management,Atlanta - Suburban,11 - Stockbridge,Eastwood Village,3005 Eastwood Village Drive,Stockbridge,GA,30281,360,MANAGE
Greystar Management,Third Lake Partners,Atlanta - Suburban,12 - McDonough,Arcadia at Symphony Park,1025 Clarinet Way,McDonough,GA,30252,250,MANAGE
Greystar Management,Laramar Group,Atlanta - Suburban,12 - McDonough,Mandalay Villas,1395 Towne Centre Village Drive,McDonough,GA,30253,300,MANAGE
Greystar Management,Vista Residential Partners,Atlanta - Suburban,12 - McDonough,Oak Grove Vista,1310 Jonesboro Road,McDonough,GA,30253,302,MANAGE
Greystar Management,Canvas Residential,Atlanta - Suburban,12 - McDonough,"Rosemoor, The",250 Foster Drive,McDonough,GA,30253,222,MANAGE
Greystar Management,Alliance Residential Company,Atlanta - Suburban,12 - McDonough,"Weldon by Broadstone, The",100 Oakbrook Drive,McDonough,GA,30253,330,MANAGE
Greystar Management,LRE Management,Atlanta - Suburban,13 - Jonesboro,Monterey Village,6265 Lee's Mill Road,Jonesboro,GA,30236,198,MANAGE
Greystar Management,Crescent Communities,Atlanta - Suburban,13 - Jonesboro,Render Stockbridge,1 Hatcher Drive,Stockbridge,GA,30281,297,MANAGE
Greystar Management,Wood Partners,Atlanta - Suburban,15 - Union City - Fairburn,Altera Union City,7105 Hall Road,Fairburn,GA,30213,320,MANAGE
Greystar Management,McDowell Properties,Atlanta - Suburban,15 - Union City - Fairburn,Champions Glen,6425 Oakley Road,Union City,GA,30291,166,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,15 - Union City - Fairburn,Marlowe South Fulton,5617 Oakley Industrial Blvd,South Fulton,GA,30213,319,MANAGE
Greystar Management,Harbert Management Corporation,Atlanta - Suburban,15 - Union City - Fairburn,"Oakley, The",6350 Oakley Road,Union City,GA,30291,260,MANAGE
Greystar Management,LRE Management,Atlanta - Suburban,15 - Union City - Fairburn,Peachtree Landing,7915 Senoia Road,Fairburn,GA,30213,220,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,15 - Union City - Fairburn,Summerwell Deerhaven,12076 Crosswicks Road,Union City,GA,30291,205,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,15 - Union City - Fairburn,Summerwell Parkway Village,5055 Southwood Road,Union City,GA,30291,282,MANAGE
Greystar Management,TruAmerica Multifamily,Atlanta - Suburban,16 - Sandtown,"Slate Apartment Homes, The",1475 Sand Bay Drive SW,Atlanta,GA,30331,350,MANAGE
Greystar Management,IPCP Residential,Atlanta - Suburban,18 - Lithia Springs,Brodick Hill,7703 Lee Road,Lithia Springs,GA,30122,312,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,18 - Lithia Springs,Elan Sweetwater Creek,1065 Preston Blvd,Lithia Springs,GA,30122,360,MANAGE
Greystar Management,TruAmerica Multifamily,Atlanta - Suburban,18 - Lithia Springs,Landings at Sweetwater Creek,100 Columns Drive,Lithia Springs,GA,30122,270,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,19 - Austell,Elan Brookwood,3890 Floyd Road,Austell,GA,30106,395,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,19 - Austell,Marlowe Brookwood,3753 Austell Road SW,Austell,GA,30106,340,MANAGE
Greystar Management,WJFS,Atlanta - Suburban,20 - Smyrna,400 Belmont,400 Belmont Place,Smyrna,GA,30080,274,MANAGE
Greystar Management,Prestwick Development,Atlanta - Suburban,20 - Smyrna,Series at Riverview Landing,6025 Riverview Road SE,Mableton,GA,30126,270,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,21 - Marietta,Avana Cityview,1650 Barnes Mill Road,Marietta,GA,30062,320,MANAGE
Greystar Management,Fundrise,Atlanta - Suburban,21 - Marietta,Trellis,1275 Cunningham Road SW,Marietta,GA,30008,210,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,22 - Kennesaw,Avana Acworth,4710 Baker Grove Road NW,Acworth,GA,30101,240,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,22 - Kennesaw,Avana Kennesaw,3840 Jiles Road,Kennesaw,GA,30144,296,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,22 - Kennesaw,Avana Ridenour,1575 Ridenour Pkwy NW,Kennesaw,GA,30152,255,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,22 - Kennesaw,Avana TownPark,3725 George Busbee Pkwy NW,Kennesaw,GA,30144,300,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,22 - Kennesaw,"Blake, The",3453 Busbee Drive,Kennesaw,GA,30144,274,MANAGE
Greystar Management,TerraCap Management,Atlanta - Suburban,22 - Kennesaw,Crestmont Apartment Homes,500 Williams Drive,Marietta,GA,30066,228,MANAGE
Greystar Management,Legacy Real Estate Development,Atlanta - Suburban,22 - Kennesaw,Greenhouse,3885 George Busbee Pkwy NW,Kennesaw,GA,30144,489,MANAGE
Greystar Management,Highpoint Development,Atlanta - Suburban,22 - Kennesaw,"Lacy at South Main, The",2652 South Main Street,Kennesaw,GA,30144,318,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,22 - Kennesaw,Overture Barrett,1490 Ernest Barrett Pkwy,Kennesaw,GA,30152,175,MANAGE
Greystar Management,Blaze Capital Partners,Atlanta - Suburban,23 - Dallas - Hiram,Hardy Springs,705 Charles Hardy Pkwy,Dallas,GA,30157,149,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,23 - Dallas - Hiram,Summerwell Cedarcrest,24 Creekwater Drive,Acworth,GA,30101,127,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,23 - Dallas - Hiram,Summerwell Legacy,10 Silvercharm Way,Dallas,GA,30132,128,MANAGE
Greystar Management,McDowell Properties,Atlanta - Suburban,24 - Canton - Woodstock,"Palmer, The",1345 Towne Lake Hills South Drive,Woodstock,GA,30189,502,MANAGE
Greystar Management,Novare Group,Atlanta - Suburban,24 - Canton - Woodstock,"Parker, The",5944 State Route 92,Acworth,GA,30102,330,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,24 - Canton - Woodstock,Summerwell Bells Ferry,1151 Hunter Trail,Acworth,GA,30102,153,MANAGE
Greystar Management,NewStar Asset Management,Atlanta - Suburban,24 - Canton - Woodstock,Tranquil Gardens,1031 Tranquil Gardens Place,Acworth,GA,30102,73,MANAGE
Greystar Management,Highpoint Development,Atlanta - Suburban,27 - Winder,"Stafford, The",91 Market Street,Bethlehem,GA,30620,288,MANAGE
Greystar Management,Greystar,Atlanta - Suburban,27 - Winder,Summerwell Mill Creek,2150 Spring Rush Drive,Buford,GA,30519,194,MANAGE
Greystar Management,McDowell Properties,Atlanta - Suburban,28 - Conyers,Mainstreet at Conyers,1501 Renaissance Drive,Conyers,GA,30012,192,MANAGE
Greystar Management,Crescent Communities,Atlanta - Suburban,29 - Covington,Render Covington,9300 Delk Drive,Covington,GA,30014,315,MANAGE
Greystar Management,Crescent Communities,Atlanta - Suburban,29 - Covington,Render Turner Lake,7900 Kaplan Lane,Covington,GA,30014,300,MANAGE
Greystar Management,Bridge Investment Group,Atlanta - Suburban,36 - Newnan,"Ashley, The",101 Ashley Park Drive,Newnan,GA,30263,269,MANAGE
Greystar Management,Advenir,Atlanta - Suburban,38 - LaGrange,Advenir at Mallory Lake,1300 South Davis Road,LaGrange,GA,30241,300,MANAGE
Greystar Management,Alliance Residential Company,Atlanta - Suburban,38 - LaGrange,Prose LaGrange,1900 Vernon Street,LaGrange,GA,30240,315,MANAGE
Greystar Management,Wood Partners,Atlanta - Suburban,41 - Villa Rica,"Dorsey by Alta, The",191 Commerce Drive,Villa Rica,GA,30180,280,MANAGE
Greystar Management,Advenir,Atlanta - Suburban,44 - Cartersville,Advenir at Walkers Ridge,18 Burnt Hickory Connector SW,Cartersville,GA,30120,240,MANAGE
Greystar Management,Eastwood Homes,Atlanta - Suburban,44 - Cartersville,Fairlie,300 Mineral Way,Cartersville,GA,30121,214,MANAGE
Greystar Management,Alliance Residential Company,Atlanta - Suburban,44 - Cartersville,Prose Cartersville,100 Overlook Pkwy,Cartersville,GA,30121,336,MANAGE
Greystar Management,Wood Partners,Atlanta - Urban,5 - East Point/Hapeville,Ben Hill Flats,2750 Barge Road SW,Atlanta,GA,30331,236,MANAGE
Greystar Management,Greystar,Atlanta - Urban,9 - West End/Fairlie Poplar/Underground,Ascent Peachtree,161 Peachtree Center Avenue NE,Atlanta,GA,30303,345,MANAGE
Greystar Management,Alliance Residential Company,Atlanta - Urban,9 - West End/Fairlie Poplar/Underground,Broadstone 2Thirty,230 Martin Luther King Jr. Drive SE,Atlanta,GA,30312,278,MANAGE
Greystar Management,H.J. Russell & Company,Atlanta - Urban,9 - West End/Fairlie Poplar/Underground,Marchon,240 Grant Street SE,Atlanta,GA,30312,305,MANAGE
Greystar Management,Middle Street Partners,Atlanta - Urban,10 - Grant Park/East Atlanta/Panthersville,"Boulevard at Grant Park, The",1015 Boulevard SE,Atlanta,GA,30312,323,MANAGE
Greystar Management,Greystar,Atlanta - Urban,10 - Grant Park/East Atlanta/Panthersville,Elan Madison Yards,230 Bill Kennedy Way SE,Atlanta,GA,30316,495,MANAGE
Greystar Management,Alliance Residential Company,Atlanta - Urban,11 - Chandler-McAfee/West Belvedere Park,Broadstone Pullman,105 Rogers Street NE,Atlanta,GA,30317,354,MANAGE
Greystar Management,Spyglass Capital Partners,Atlanta - Urban,11 - Chandler-McAfee/West Belvedere Park,Connect Decatur,2641 East College Avenue,Decatur,GA,30030,378,MANAGE
Greystar Management,Pope & Land Enterprises,Atlanta - Urban,14 - Midtown West/Centennial Place,100 Midtown,100 10th Street NW,Atlanta,GA,30309,118,MANAGE
Greystar Management,Woodfield Development,Atlanta - Urban,14 - Midtown West/Centennial Place,505 Courtland,505 Courtland Street NE,Atlanta,GA,30308,284,MANAGE
Greystar Management,Frankforter Group,Atlanta - Urban,14 - Midtown West/Centennial Place,Generation,369 Centennial Olympic Park Drive NW,Atlanta,GA,30313,336,MANAGE
Greystar Management,Trammell Crow Residential,Atlanta - Urban,14 - Midtown West/Centennial Place,"Grace Residences, The",200 Nerem Street NW,Atlanta,GA,30313,280,MANAGE
Greystar Management,Virtus Real Estate Capital,Atlanta - Urban,14 - Midtown West/Centennial Place,"Lowery, The",900 Joseph E. Lowery Blvd NW,Atlanta,GA,30318,171,MANAGE
Greystar Management,Goldrich & Kest,Atlanta - Urban,14 - Midtown West/Centennial Place,NOVEL Midtown Atlanta,1140 Spring Street NW,Atlanta,GA,30309,340,MANAGE
Greystar Management,TA Realty,Atlanta - Urban,14 - Midtown West/Centennial Place,Tens on West,1010 West Peachtree Street NW,Atlanta,GA,30309,332,MANAGE
