State,City,SUM of Units
,Venice,520
,Wesley Chapel,150
,West Melbourne,373
,West Miami,196
,West Palm Beach,738
,Weston,368
,Wildwood,373
,Wimauma,196
,Windermere,346
,Winter Garden,810
,Winter Park,178
FL Total,,78889
GA,Acworth,923
,Alpharetta,1169
,Athens,684
,Atlanta,15860
,Augusta,1007
,Austell,735
,Bethlehem,288
,Brookhaven,291
,Buford,374
,Cartersville,790
,Chamblee,894
,Columbus,340
,Conyers,192
,Covington,615
,Cumming,630
,Dallas,277
,Dalton,234
,Decatur,1111
,Duluth,2945
,Evans,300
,Fairburn,540
,Gainesville,936
,Johns Creek,224
,Jonesboro,198
,Kennesaw,2107
,LaGrange,615
,Lawrenceville,748
,Lithia Springs,942
,Loganville,175
,Mableton,270
,Marietta,1070
,Martinez,274
,McDonough,1404
,Newnan,269
,Norcross,918
,Oakwood,248
,Peachtree Corners,544
,Pooler,475
,Port Wentworth,1243
,Roswell,498
,Sandy Springs,733
,Savannah,2492
,Smyrna,634
,South Fulton,319
,Stockbridge,657
,Stone Mountain,479
,Suwanee,98
,Tucker,891
,Union City,913
,Villa Rica,280
,Woodstock,502
GA Total,,51355
HI,Ewa Beach,1775
,Honolulu,388
,Kapolei,1019
HI Total,,3182
IA,West Des Moines,420
IA Total,,420
ID,Boise,1151
,Caldwell,316
,Coeur d'Alene,426
,Eagle,184
,Meridian,420
,Post Falls,84
,Rathdrum,276
ID Total,,2857
IL,Arlington Heights,280
,Aurora,1084
,Chicago,6486
,Downers Grove,167
,Edwardsville,168
,Elk Grove,192
,Elmhurst,364
,Evanston,344
,Glenview,169
,La Grange,254
,Lincolnwood,299
,Lockport,240
,Lombard,470
,Mount Prospect,1295
,Mundelein,166
,Naperville,544
,Park Ridge,115
,Pingree Grove,99
,Skokie,172
,Tinley Park,144
,Vernon Hills,447
IL Total,,13499
IN,Greenwood,552
,Indianapolis,1372
,Noblesville,318
IN Total,,2242
KS,Fairway,209
,Kansas City,228
,Lenexa,850
,Overland Park,838
,Prairie Village,282
,Shawnee Mission,188
,Wichita,1041
KS Total,,3636
KY,Covington,178
,Louisville,3385
KY Total,,3563
LA,Baton Rouge,939
,Gonzales,299
,Hammond,312
,Lafayette,348
,Lake Charles,264
,Metairie,336
,New Orleans,330
,Scott,216
LA Total,,3044
MA,Abington,198
,Allston,50
,Amherst,140
,Andover,115
,Arlington,164
,Beverly,384
,Billerica,324
,Bolton,229
,Boston,5459
,Brighton,150
,Cambridge,1422
,Chelsea,452
,Cohasset,220
,Concord,350
,Dedham,585
,East Boston,230
,Everett,1905
,Framingham,528
,Hanover,297
,Hingham,220
,Hudson,158
,Lynn,725
,Malden,295
,Mansfield,200
,Marlboro,240
,Marlborough,1046
,Marshfield,248
,Medford,282
,Melrose,182
,Natick,164
,Needham,189
,Norton,188
,Pembroke,240
,Plymouth,220
,Quincy,349
,Revere,1645
,Salem,250
,Shrewsbury,196
,Somerville,1152
,Stoneham,261
,Stoughton,154
,Swampscott,184
,Taunton,390
,Wakefield,186
,Waltham,614
,Watertown,282
,Westborough,249
,Weymouth,418
,Winchester,96
,Worcester,566
MA Total,,24791
MD,Annapolis,807
,Baltimore,2977
,Bethesda,1076
,Bowie,324
,Brandywine,243
,Camp Springs,291
,Capitol Heights,648
,College Park,599
,Columbia,854
,Elkridge,1140
,Elkton,330
,Ellicott City,876
,Frederick,304
,Germantown,1330
,Hyattsville,950
,La Plata,288
,Largo,560
,Laurel,426
,North Bethesda,446
,Nottingham,212
,Owings Mills,1060
,Oxon Hill,262
,Riverdale,451
,Rockville,929
,Silver Spring,325
,Towson,105
,Waldorf,463
MD Total,,18276
MI,Ann Arbor,1194
,Clarkston,418
,Clinton Township,264
,East Lansing,106
,Grandville,408
,Lansing,626
,Rochester,300
,Rochester Hills,473
,Shelby Township,796
,Sterling Heights,888
,Westland,177
MI Total,,5650
MN,Brooklyn Park,480
,Burnsville,579
,Cottage Grove,171
,Edina,552
,Hopkins,469
,Inver Grove Heights,424
,Lake Elmo,102
,Maple Grove,220
,Minneapolis,2111
,Minnetonka,1067
,Rochester,741
,Shakopee,428
,St. Louis Park,397
,St. Paul,419
,West St. Paul,153
,Woodbury,649
MN Total,,8962
MO,Fenton,200
,Kansas City,995
,Kirkwood,152
,Lee's Summit,243
,Maplewood,174
,Springfield,207
,St. Louis,406
,St. Peters,549
MO Total,,2926
MS,Starkville,288
MS Total,,288
NC,Apex,992
,Asheville,1616
,Belmont,322
,Burlington,119
,Candler,216
,Carolina Shores,136
,Carrboro,504
,Cary,3259
,Chapel Hill,2114
,Charlotte,30610
,Concord,328
,Cornelius,212
,Dallas,99
,Durham,4440
,Fuquay-Varina,251
,Garner,198
,Gastonia,229
,Greensboro,630
,Hendersonville,99
,Hillsborough,383
,Huntersville,1039
,Indian Trail,204
,Kernersville,64
,Leland,602
,Matthews,1441
,Mebane,240
,Monroe,151
,Mooresville,1513
,Morrisville,2474
,Pineville,107
,Raleigh,15298
,Rolesville,140
,Southern Pines,566
,Wake Forest,344
,Wendell,737
,Wilmington,2449
,Winston-Salem,712
NC Total,,74838
NE,Elkhorn,283
,Gretna,182
,Omaha,162
,Papillion,154
NE Total,,781
NH,Londonderry,264
,Merrimack,224
NH Total,,488
NJ,Bayonne,220
,Cherry Hill,512
,Cranford,250
,East Rutherford,108
,Englewood,350
,Evesham,124
,Flemington,406
,Hackensack,361
,Harrison,309
,Hoboken,891
,Jersey City,1587
,Long Branch,170
,Morris Plains,116
,Morristown,129
,New Brunswick,626
,North Bergen,176
,Parsippany,276
,Secaucus,641
,Wayne,465
,Weehawken,1871
,West New York,253
,Woodbridge Township,146
NJ Total,,9987
NM,Albuquerque,10877
,Los Alamos,149
,Rio Rancho,209
,Santa Fe,1572
NM Total,,12807
NV,Henderson,3214
,Las Vegas,8291
,North Las Vegas,1141
,Reno,1210
NV Total,,13856
NY,Astoria,354
,Bay Shore,418
,Bronxville,110
,Brooklyn,2667
,Buchanan,148
,Buffalo,176
,Farmingville,292
,Glen Cove,385
,Hauppauge,98
,Hicksville,106
,Ithaca,1251
,Long Island City,1106
,New Rochelle,1494
,New York,6073
,Ossining,168
,Patchogue,291
,Port Chester,245
,Port Jefferson,112
,Port Jefferson Station,244
,Ronkonkoma,877
,Sloatsburg,384
,Syracuse,722
,Valley Stream,90
,Westbury,130
,White Plains,500
,Yaphank,535
NY Total,,18976
OH,Cleveland,647
,Kent,198
,Lewis Center,256
,Norwood,228
,Westerville,218
OH Total,,1547
OK,Bixby,96
,Broken Arrow,182
,Norman,314
,Oklahoma City,2242
,Tulsa,1280
,Yukon,150
OK Total,,4264
OR,Beaverton,1155
,Bend,433
,Corvallis,563
,Crovallis,212
,Eugene,2851
,Gresham,810
,Happy Valley,372
,Hillsboro,2286
,Lake Oswego,954
,Milwaukie,403
,Portland,6217
,Salem,538
,Sherwood,183
,Tigard,1094
,Tualatin,956
,Wilsonville,696
OR Total,,19723
PA,Bala Cynwyd,292
,Bethel Park,338
,Bethlehem,144
,Bridgeville,416
,Conshohocken,280
,Coraopolis,312
,Elizabethtown,280
,King of Prussia,816
,Langhorne,202
,Malvern,400
,Moon Township,336
,Philadelphia,7066
,Pittsburgh,3825
,State College,500
,West Chester,205
,Wynnewood,250
PA Total,,15662
RI,Warwick,214
RI Total,,214
SC,Aiken,256
,Beaufort,524
